table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
public,ad_details,1,id,integer,NO,nextval('ad_details_id_seq'::regclass),,32,0
public,ad_details,2,media_name,character varying,NO,,255,,
public,ad_details,3,contract_start_date,date,YES,,,,
public,ad_details,4,contract_end_date,date,YES,,,,
public,ad_details,5,contract_amount,integer,YES,0,,32,0
public,ad_details,6,amount_period,character varying,YES,,50,,
public,ad_details,7,contract_method,text,YES,,,,
public,ad_details,8,renewal_terms,text,YES,,,,
public,ad_details,9,memo,text,YES,,,,
public,ad_details,10,created_at,timestamp with time zone,YES,now(),,,
public,ad_details,11,updated_at,timestamp with time zone,YES,now(),,,
public,candidate_applications,1,id,bigint,NO,nextval('candidate_applications_id_seq'::regclass),,64,0
public,candidate_applications,2,candidate_id,bigint,NO,,,64,0
public,candidate_applications,3,client_id,bigint,NO,,,64,0
public,candidate_applications,4,kintone_sub_id,text,YES,,,,
public,candidate_applications,5,job_title,text,YES,,,,
public,candidate_applications,8,apply_route,text,YES,,,,
public,candidate_applications,10,recommended_at,timestamp with time zone,YES,,,,
public,candidate_applications,11,first_interview_set_at,timestamp with time zone,YES,,,,
public,candidate_applications,12,first_interview_at,timestamp with time zone,YES,,,,
public,candidate_applications,13,second_interview_set_at,timestamp with time zone,YES,,,,
public,candidate_applications,14,second_interview_at,timestamp with time zone,YES,,,,
public,candidate_applications,15,offer_date,timestamp with time zone,YES,,,,
public,candidate_applications,16,close_expected_at,timestamp with time zone,YES,,,,
public,candidate_applications,17,offer_accept_date,timestamp with time zone,YES,,,,
public,candidate_applications,18,join_date,timestamp with time zone,YES,,,,
public,candidate_applications,19,pre_join_withdraw_date,timestamp with time zone,YES,,,,
public,candidate_applications,20,post_join_quit_date,timestamp with time zone,YES,,,,
public,candidate_applications,21,stage_current,text,YES,,,,
public,candidate_applications,25,is_quit_30,boolean,YES,,,,
public,candidate_applications,28,created_at,timestamp with time zone,NO,CURRENT_TIMESTAMP,,,
public,candidate_applications,29,updated_at,timestamp with time zone,NO,CURRENT_TIMESTAMP,,,
public,candidate_applications,34,selection_note,text,YES,,,,
public,candidate_applications,39,pre_join_withdraw_reason,text,YES,,,,
public,candidate_applications,41,post_join_quit_reason,text,YES,,,,
public,candidate_applications,42,recommendation_text,text,YES,,,,
public,candidate_applications,43,final_interview_set_at,date,YES,,,,
public,candidate_applications,44,final_interview_at,date,YES,,,,
public,candidate_applications,45,offer_at,date,YES,,,,
public,candidate_applications,46,offer_accepted_at,date,YES,,,,
public,candidate_applications,47,joined_at,date,YES,,,,
public,candidate_applications,48,declined_after_offer_at,date,YES,,,,
public,candidate_applications,49,declined_after_offer_reason,text,YES,,,,
public,candidate_applications,50,early_turnover_at,date,YES,,,,
public,candidate_applications,51,early_turnover_reason,text,YES,,,,
public,candidate_applications,52,closing_forecast_at,date,YES,,,,
public,candidate_applications,53,fee,integer,YES,,,32,0
public,candidate_applications,54,note,text,YES,,,,
public,candidate_applications,55,proposal_date,timestamp with time zone,YES,,,,
