table_schema,table_name,ordinal_position,column_name,data_type,char_len,is_nullable,column_default
public,ad_entries,1,id,bigint,"",NO,nextval('ad_entries_id_seq'::regclass)
public,ad_entries,2,kintone_app_id,integer,"",NO,
public,ad_entries,3,kintone_record_id,integer,"",NO,
public,ad_entries,4,candidate_code,text,"",YES,
public,ad_entries,5,candidate_id,bigint,"",YES,
public,ad_entries,6,advisor_user_id,bigint,"",YES,
public,ad_entries,7,partner_user_id,bigint,"",YES,
public,ad_entries,8,registered_at,timestamp with time zone,"",YES,
public,ad_entries,9,updated_at,timestamp with time zone,"",YES,
public,ad_entries,10,media_registered_at,timestamp with time zone,"",YES,
public,ad_entries,11,apply_route,text,"",YES,
public,ad_entries,12,apply_route_mid,text,"",YES,
public,ad_entries,13,active_flag,boolean,"",YES,
public,ad_entries,14,created_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,ad_media_costs_monthly,1,id,bigint,"",NO,nextval('ad_media_costs_monthly_id_seq'::regclass)
public,ad_media_costs_monthly,2,media_name,text,"",NO,
public,ad_media_costs_monthly,3,period,text,"",NO,
public,ad_media_costs_monthly,4,contract_cost,integer,"",NO,0
public,ad_media_costs_monthly,5,created_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,ad_media_costs_monthly,6,updated_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,candidate_applications,1,id,bigint,"",NO,nextval('candidate_applications_id_seq'::regclass)
public,candidate_applications,2,candidate_id,bigint,"",NO,
public,candidate_applications,3,client_id,bigint,"",NO,
public,candidate_applications,4,kintone_sub_id,text,"",YES,
public,candidate_applications,5,job_title,text,"",YES,
public,candidate_applications,6,job_location,text,"",YES,
public,candidate_applications,7,headcount_plan,integer,"",YES,
public,candidate_applications,8,apply_route,text,"",YES,
public,candidate_applications,9,media_name,text,"",YES,
public,candidate_applications,10,recommended_at,timestamp with time zone,"",YES,
public,candidate_applications,11,first_interview_set_at,timestamp with time zone,"",YES,
public,candidate_applications,12,first_interview_at,timestamp with time zone,"",YES,
public,candidate_applications,13,second_interview_set_at,timestamp with time zone,"",YES,
public,candidate_applications,14,second_interview_at,timestamp with time zone,"",YES,
public,candidate_applications,15,offer_date,timestamp with time zone,"",YES,
public,candidate_applications,16,close_expected_at,timestamp with time zone,"",YES,
public,candidate_applications,17,offer_accept_date,timestamp with time zone,"",YES,
public,candidate_applications,18,join_date,timestamp with time zone,"",YES,
public,candidate_applications,19,pre_join_withdraw_date,timestamp with time zone,"",YES,
public,candidate_applications,20,post_join_quit_date,timestamp with time zone,"",YES,
public,candidate_applications,21,stage_current,text,"",YES,
public,candidate_applications,22,final_result,text,"",YES,
public,candidate_applications,23,is_hired,boolean,"",YES,
public,candidate_applications,24,is_withdrawn,boolean,"",YES,
public,candidate_applications,25,is_quit_30,boolean,"",YES,
public,candidate_applications,26,is_quit_60,boolean,"",YES,
public,candidate_applications,27,is_quit_90,boolean,"",YES,
public,candidate_applications,28,created_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,candidate_applications,29,updated_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,candidate_applications,30,doc_screened_at,timestamp with time zone,"",YES,
public,candidate_applications,31,rejected_at,timestamp without time zone,"",YES,
public,candidate_applications,32,declined_at,timestamp without time zone,"",YES,
public,candidate_applications,33,early_quit_at,timestamp without time zone,"",YES,
public,candidates,1,id,bigint,"",NO,nextval('candidates_id_seq'::regclass)
public,candidates,2,kintone_app_id,integer,"",YES,
public,candidates,3,kintone_record_id,integer,"",YES,
public,candidates,4,candidate_code,text,"",NO,
public,candidates,5,advisor_user_id,bigint,"",YES,
public,candidates,6,partner_user_id,bigint,"",YES,
public,candidates,7,active_flag,boolean,"",YES,true
public,candidates,8,name,text,"",NO,
public,candidates,9,name_kana,text,"",YES,
public,candidates,10,gender,text,"",YES,
public,candidates,11,birth_date,date,"",YES,
public,candidates,12,age,integer,"",YES,
public,candidates,13,final_education,text,"",YES,
public,candidates,14,phone,text,"",YES,
public,candidates,15,email,text,"",YES,
public,candidates,16,postal_code,text,"",YES,
public,candidates,17,address_pref,text,"",YES,
public,candidates,18,address_city,text,"",YES,
public,candidates,19,address_detail,text,"",YES,
public,candidates,20,employment_status,text,"",YES,
public,candidates,21,current_income,integer,"",YES,
public,candidates,22,desired_income,integer,"",YES,
public,candidates,23,first_interview_note,text,"",YES,
public,candidates,24,career_motivation,text,"",YES,
public,candidates,25,other_process_status,text,"",YES,
public,candidates,26,note,text,"",YES,
public,candidates,27,sms_sent_flag,boolean,"",YES,
public,candidates,28,new_status,text,"",YES,
public,candidates,29,first_call_at,timestamp with time zone,"",YES,
public,candidates,30,first_schedule_fixed_at,timestamp with time zone,"",YES,
public,candidates,31,first_contact_planned_at,timestamp with time zone,"",YES,
public,candidates,32,first_contact_at,timestamp with time zone,"",YES,
public,candidates,33,first_interview_attended,boolean,"",YES,
public,candidates,34,next_contact_at,timestamp with time zone,"",YES,
public,candidates,35,is_effective_application,boolean,"",YES,
public,candidates,36,is_connected,boolean,"",YES,
public,candidates,37,created_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,candidates,38,updated_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,client_profiles,1,client_id,bigint,"",NO,
public,client_profiles,2,contact_name,text,"",YES,
public,client_profiles,3,industry,text,"",YES,
public,client_profiles,4,profile,text,"",YES,
public,client_profiles,5,intro,text,"",YES,
public,client_profiles,6,plan_headcount,integer,"",NO,0
public,client_profiles,7,fee_rate,numeric,"",YES,
public,client_profiles,8,prejoin_decline_reason,text,"",YES,
public,client_profiles,9,desired_talent,jsonb,"",YES,
public,client_profiles,10,job_title_default,text,"",YES,
public,client_profiles,11,highlight_position,text,"",YES,
public,client_profiles,12,created_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,client_profiles,13,updated_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,clients,1,id,bigint,"",NO,nextval('clients_id_seq'::regclass)
public,clients,2,name,text,"",NO,
public,clients,3,industry,text,"",YES,
public,clients,4,location,text,"",YES,
public,clients,5,created_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,clients,6,updated_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,clients,7,remaining_hiring_count,integer,"",YES,0
public,clients,8,retention_rate,numeric,"",YES,
public,clients,9,job_categories,text,"",YES,
public,clients,10,proposal_count,integer,"",YES,0
public,clients,11,document_screening_count,integer,"",YES,0
public,clients,12,first_interview_count,integer,"",YES,0
public,clients,13,second_interview_count,integer,"",YES,0
public,clients,14,offer_count,integer,"",YES,0
public,clients,15,hired_count,integer,"",YES,0
public,clients,16,planned_hires_count,integer,"",YES,0
public,clients,17,refund_amount,bigint,"",YES,0
public,clients,18,average_lead_time,numeric,"",YES,
public,clients,19,fee_amount,bigint,"",YES,0
public,clients,20,pre_join_decline_count,integer,"",YES,0
public,clients,21,pre_join_decline_reason,text,"",YES,
public,clients,22,dropped_count,integer,"",YES,0
public,clients,23,salary_range,text,"",YES,
public,clients,24,must_qualifications,text,"",YES,
public,clients,25,nice_qualifications,text,"",YES,
public,clients,26,desired_locations,text,"",YES,
public,clients,27,personality_traits,text,"",YES,
public,clients,28,required_experience,text,"",YES,
public,clients,29,selection_note,text,"",YES,
public,goal_daily_targets,1,id,bigint,"",NO,nextval('goal_daily_targets_id_seq'::regclass)
public,goal_daily_targets,2,advisor_user_id,integer,"",NO,
public,goal_daily_targets,3,period_id,text,"",NO,
public,goal_daily_targets,4,target_date,date,"",NO,
public,goal_daily_targets,5,targets,jsonb,"",NO,'{}'::jsonb
public,goal_daily_targets,6,created_at,timestamp with time zone,"",NO,now()
public,goal_daily_targets,7,updated_at,timestamp with time zone,"",NO,now()
public,goal_settings,1,id,smallint,"",NO,1
public,goal_settings,2,evaluation_rule_type,text,"",NO,
public,goal_settings,3,evaluation_rule_options,jsonb,"",NO,'{}'::jsonb
public,goal_settings,4,updated_at,timestamp with time zone,"",NO,now()
public,goal_targets,1,id,bigint,"",NO,nextval('goal_targets_id_seq'::regclass)
public,goal_targets,2,scope,text,"",NO,
public,goal_targets,3,advisor_user_id,integer,"",YES,
public,goal_targets,4,period_id,text,"",NO,
public,goal_targets,5,targets,jsonb,"",NO,'{}'::jsonb
public,goal_targets,6,created_at,timestamp with time zone,"",NO,now()
public,goal_targets,7,updated_at,timestamp with time zone,"",NO,now()
public,placements,1,id,bigint,"",NO,nextval('placements_id_seq'::regclass)
public,placements,2,candidate_application_id,bigint,"",NO,
public,placements,3,fee_amount,integer,"",YES,
public,placements,4,job_title_at_join,text,"",YES,
public,placements,5,offer_date,timestamp with time zone,"",YES,
public,placements,6,offer_accept_date,timestamp with time zone,"",YES,
public,placements,7,join_date,timestamp with time zone,"",YES,
public,placements,8,quit_date,timestamp with time zone,"",YES,
public,placements,9,refund_amount,integer,"",YES,
public,placements,10,refund_reason,text,"",YES,
public,placements,11,report_line_flag,boolean,"",YES,
public,placements,12,report_sheet_flag,boolean,"",YES,
public,placements,13,invoice_sent_flag,boolean,"",YES,
public,placements,14,refund_report_line_flag,boolean,"",YES,
public,placements,15,refund_report_client_flag,boolean,"",YES,
public,placements,16,created_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,placements,17,updated_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,placements,18,application_id,integer,"",YES,
public,teleapo_logs,1,id,bigint,"",NO,nextval('teleapo_logs_id_seq'::regclass)
public,teleapo_logs,2,candidate_id,bigint,"",NO,
public,teleapo_logs,3,call_no,integer,"",NO,
public,teleapo_logs,4,called_at,timestamp with time zone,"",NO,
public,teleapo_logs,5,route,text,"",YES,
public,teleapo_logs,6,result,text,"",YES,
public,teleapo_logs,7,created_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,teleapo_logs,8,caller_user_id,bigint,"",YES,
public,teleapo_logs,9,memo,text,"",YES,
public,users,1,id,bigint,"",NO,nextval('users_id_seq'::regclass)
public,users,2,name,text,"",NO,
public,users,3,email,text,"",NO,
public,users,4,role,text,"",NO,
public,users,5,created_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,users,6,updated_at,timestamp with time zone,"",NO,CURRENT_TIMESTAMP
public,users,7,password_hash,text,"",YES,
public,users,8,is_admin,boolean,"",NO,false
